rel_path,file_name,extension,size_bytes,mime_type,mime_source,sha256,width,height,wp_attachment_id,wp_reference_role,wp_parent_post,referenced_in_content,reference_signals,user_content,derived_from,thumbnail_pattern,generated_pattern,duplicate_group_sha,duplicate_group_size,duplicate_keeper,probable_duplicate_group_size,corrupt_signal,classification,wm4_action
2026/05/event.png,event.png,.png,349614,image/png,magic,2b51e6ddc0ed9893aa0cfaf2502ef00865ebb2399a8ac72992f2c21f61bde8d0,1717,916,663,original,0,yes,path_in_content,yes,,no,no,,1,,1,,ORIGINAL_USED,EXPORTABLE
2026/05/f09f8caaefb88f-le-souffle-1024x576.jpg,f09f8caaefb88f-le-souffle-1024x576.jpg,.jpg,141124,image/jpeg,magic,70a57f357a1730a0d8f94eabcfbe787a0f6c8705a57eb2cfbc8cd3e2d9a3c55e,1024,576,1256,sized_variant,31,yes,attached_to_post:31,yes,2026/05/f09f8caaefb88f-le-souffle.jpg,yes,no,,1,,1,,THUMBNAIL,REJECTED_REGENERABLE
2026/05/f09f8caaefb88f-le-souffle-150x150.jpg,f09f8caaefb88f-le-souffle-150x150.jpg,.jpg,10052,image/jpeg,magic,5ebde3b2ccf5f177863f139d1d126dc0869b94a1ef984b12b701f1278e7d23c9,150,150,1256,sized_variant,31,yes,attached_to_post:31,yes,2026/05/f09f8caaefb88f-le-souffle.jpg,yes,no,,1,,1,,THUMBNAIL,REJECTED_REGENERABLE
2026/05/f09f8caaefb88f-le-souffle-300x169.jpg,f09f8caaefb88f-le-souffle-300x169.jpg,.jpg,19653,image/jpeg,magic,5ee51fa808a9959cb99f00f8165b4ed6f65b6152c0db25e00291806d47b472f2,300,169,1256,sized_variant,31,yes,attached_to_post:31,yes,2026/05/f09f8caaefb88f-le-souffle.jpg,yes,no,,1,,1,,THUMBNAIL,REJECTED_REGENERABLE
2026/05/f09f8caaefb88f-le-souffle-768x432.jpg,f09f8caaefb88f-le-souffle-768x432.jpg,.jpg,90582,image/jpeg,magic,6a0259de2fa856fc835dc076d7387fb74c42bd25a2abd6abd165a1bc35ed4e6b,768,432,1256,sized_variant,31,yes,attached_to_post:31,yes,2026/05/f09f8caaefb88f-le-souffle.jpg,yes,no,,1,,1,,THUMBNAIL,REJECTED_REGENERABLE
2026/05/f09f8caaefb88f-le-souffle.jpg,f09f8caaefb88f-le-souffle.jpg,.jpg,301310,image/jpeg,magic,2e8d360fba7f168f42d9f1c07239adb4f2fc589e2fc3b4837543897df241f32e,1280,720,1256,original,31,yes,path_in_content|attached_to_post:31,yes,,no,no,,1,,1,,ORIGINAL_USED,EXPORTABLE
2026/05/f09f9191-le-retour-des-fils--1024x576.jpg,f09f9191-le-retour-des-fils--1024x576.jpg,.jpg,108096,image/jpeg,magic,caf48e5ec76a87ebebd3b6184d4e4b10b4ace7ab021773feccebe803e47f0bf9,1024,576,956,sized_variant,209,yes,attached_to_post:209,yes,2026/05/f09f9191-le-retour-des-fils-.jpg,yes,no,,1,,1,,THUMBNAIL,REJECTED_REGENERABLE
2026/05/f09f9191-le-retour-des-fils--150x150.jpg,f09f9191-le-retour-des-fils--150x150.jpg,.jpg,8348,image/jpeg,magic,d16fb6ccd05609a1dddf1c24a0d3aacce774e7992ded4e7a24b08e021964d753,150,150,956,sized_variant,209,yes,attached_to_post:209,yes,2026/05/f09f9191-le-retour-des-fils-.jpg,yes,no,,1,,1,,THUMBNAIL,REJECTED_REGENERABLE
2026/05/f09f9191-le-retour-des-fils--300x169.jpg,f09f9191-le-retour-des-fils--300x169.jpg,.jpg,16075,image/jpeg,magic,8e5073c264148f676041ed39265c3018b2ec8688f8f917215bb4ba0519b4e4d3,300,169,956,sized_variant,209,yes,attached_to_post:209,yes,2026/05/f09f9191-le-retour-des-fils-.jpg,yes,no,,1,,1,,THUMBNAIL,REJECTED_REGENERABLE
2026/05/f09f9191-le-retour-des-fils--768x432.jpg,f09f9191-le-retour-des-fils--768x432.jpg,.jpg,70036,image/jpeg,magic,025835b643f8d85689a1b34913e6526b723389f1871991cc78661e552e22c74a,768,432,956,sized_variant,209,yes,attached_to_post:209,yes,2026/05/f09f9191-le-retour-des-fils-.jpg,yes,no,,1,,1,,THUMBNAIL,REJECTED_REGENERABLE
2026/05/f09f9191-le-retour-des-fils-.jpg,f09f9191-le-retour-des-fils-.jpg,.jpg,238284,image/jpeg,magic,260d4d794570f9cb2331f7b0669d47141eaf3eaabd62443e35fbbe6fde55511f,1280,720,956,original,209,yes,path_in_content|attached_to_post:209,yes,,no,no,,1,,1,,ORIGINAL_USED,EXPORTABLE
2026/05/f09f9191-le-retour-des-herit-1-1024x576.jpg,f09f9191-le-retour-des-herit-1-1024x576.jpg,.jpg,115522,image/jpeg,magic,d444617f10c96e7d9ce83ca4d723920543dd5f18db2eb75c74497a5b7fa22d4e,1024,576,1132,sized_variant,209,yes,attached_to_post:209,yes,2026/05/f09f9191-le-retour-des-herit-1.jpg,yes,no,d444617f10c96e7d,2,no,2,,EXACT_DUPLICATE,REJECTED_DEDUP
2026/05/f09f9191-le-retour-des-herit-1-150x150.jpg,f09f9191-le-retour-des-herit-1-150x150.jpg,.jpg,8561,image/jpeg,magic,5ebfe9ace2358ceb344e6617b9a9859fd8533d24de5cde71f241f35d123bd490,150,150,1132,sized_variant,209,yes,attached_to_post:209,yes,2026/05/f09f9191-le-retour-des-herit-1.jpg,yes,no,5ebfe9ace2358ceb,2,no,2,,EXACT_DUPLICATE,REJECTED_DEDUP
2026/05/f09f9191-le-retour-des-herit-1-300x169.jpg,f09f9191-le-retour-des-herit-1-300x169.jpg,.jpg,17757,image/jpeg,magic,48c1164f5dc4abc1eed8dabad1d0d2e8a9747f1dee21eb8cf34f4de0bf33ad06,300,169,1132,sized_variant,209,yes,attached_to_post:209,yes,2026/05/f09f9191-le-retour-des-herit-1.jpg,yes,no,48c1164f5dc4abc1,2,no,2,,EXACT_DUPLICATE,REJECTED_DEDUP
2026/05/f09f9191-le-retour-des-herit-1-768x432.jpg,f09f9191-le-retour-des-herit-1-768x432.jpg,.jpg,76333,image/jpeg,magic,269cf18a847ad542291f3de3f2b5d1ef67157b68481c3bb14b1fa77a94942ff6,768,432,1132,sized_variant,209,yes,attached_to_post:209,yes,2026/05/f09f9191-le-retour-des-herit-1.jpg,yes,no,269cf18a847ad542,2,no,2,,EXACT_DUPLICATE,REJECTED_DEDUP
2026/05/f09f9191-le-retour-des-herit-1.jpg,f09f9191-le-retour-des-herit-1.jpg,.jpg,238352,image/jpeg,magic,fa13433a7412bc649c159c5002a2bdd190c68c335bf491be002419a4d7869bff,1280,720,1132,original,209,yes,attached_to_post:209,yes,,no,no,fa13433a7412bc64,2,no,2,,EXACT_DUPLICATE,REJECTED_DEDUP
2026/05/f09f9191-le-retour-des-herit-1024x576.jpg,f09f9191-le-retour-des-herit-1024x576.jpg,.jpg,115522,image/jpeg,magic,d444617f10c96e7d9ce83ca4d723920543dd5f18db2eb75c74497a5b7fa22d4e,1024,576,750,sized_variant,31,yes,attached_to_post:31,yes,2026/05/f09f9191-le-retour-des-herit.jpg,yes,no,d444617f10c96e7d,2,yes,2,,THUMBNAIL,REJECTED_REGENERABLE
2026/05/f09f9191-le-retour-des-herit-150x150.jpg,f09f9191-le-retour-des-herit-150x150.jpg,.jpg,8561,image/jpeg,magic,5ebfe9ace2358ceb344e6617b9a9859fd8533d24de5cde71f241f35d123bd490,150,150,750,sized_variant,31,yes,attached_to_post:31,yes,2026/05/f09f9191-le-retour-des-herit.jpg,yes,no,5ebfe9ace2358ceb,2,yes,2,,THUMBNAIL,REJECTED_REGENERABLE
2026/05/f09f9191-le-retour-des-herit-300x169.jpg,f09f9191-le-retour-des-herit-300x169.jpg,.jpg,17757,image/jpeg,magic,48c1164f5dc4abc1eed8dabad1d0d2e8a9747f1dee21eb8cf34f4de0bf33ad06,300,169,750,sized_variant,31,yes,attached_to_post:31,yes,2026/05/f09f9191-le-retour-des-herit.jpg,yes,no,48c1164f5dc4abc1,2,yes,2,,THUMBNAIL,REJECTED_REGENERABLE
2026/05/f09f9191-le-retour-des-herit-768x432.jpg,f09f9191-le-retour-des-herit-768x432.jpg,.jpg,76333,image/jpeg,magic,269cf18a847ad542291f3de3f2b5d1ef67157b68481c3bb14b1fa77a94942ff6,768,432,750,sized_variant,31,yes,attached_to_post:31,yes,2026/05/f09f9191-le-retour-des-herit.jpg,yes,no,269cf18a847ad542,2,yes,2,,THUMBNAIL,REJECTED_REGENERABLE
2026/05/f09f9191-le-retour-des-herit.jpg,f09f9191-le-retour-des-herit.jpg,.jpg,238352,image/jpeg,magic,fa13433a7412bc649c159c5002a2bdd190c68c335bf491be002419a4d7869bff,1280,720,750,original,31,yes,attached_to_post:31,yes,,no,no,fa13433a7412bc64,2,yes,2,,ORIGINAL_USED,EXPORTABLE
2026/05/f09f9191-le-temps-de-la-recu-1024x576.jpg,f09f9191-le-temps-de-la-recu-1024x576.jpg,.jpg,111252,image/jpeg,magic,140da4a74aaaa7a6616c38e478501a0ce4500c57aeedb6f989e6ed25c0e4abf9,1024,576,953,sized_variant,209,yes,attached_to_post:209,yes,2026/05/f09f9191-le-temps-de-la-recu.jpg,yes,no,,1,,1,,THUMBNAIL,REJECTED_REGENERABLE
