lesson_id,post_status,slug,course_id,course_slug,topic_id,topic_slug,menu_order,content_html_len,content_text_len,word_count,headings,list_items,excerpt_len,video_meta_present,video_meta_source,attachments_n,attachments_ok,attachments_broken,attachment_mimes,video_reference_elsewhere,author_placeholder_found,author_placeholder_count,placeholder_requests_video,pedagogical_completeness,classification,migration_decision,human_review_required,content_sha256_16
1116,publish,5-1-la-diversite-des-ministeres,736,parcours-3-je-deviens-un-disciple-actif,1115,%f0%9f%9b%90-module-5-le-service-dans-le-royaume,1,516,446,75,2,0,73,no,,0,0,0,,none,yes,1,yes,incomplete_placeholder,INCOMPLETE,MIGRABLE_AVEC_RESERVE,yes,66dd40b3343424b9
1117,publish,5-2-servir-avec-le-coeur-du-royaume,736,parcours-3-je-deviens-un-disciple-actif,1115,%f0%9f%9b%90-module-5-le-service-dans-le-royaume,2,247,209,38,2,0,31,no,,0,0,0,,none,yes,1,yes,incomplete_placeholder,INCOMPLETE,MIGRABLE_AVEC_RESERVE,yes,29e10dd61305b36b
1118,publish,5-3-le-service-chemin-de-croissance-et-de-gloire,736,parcours-3-je-deviens-un-disciple-actif,1115,%f0%9f%9b%90-module-5-le-service-dans-le-royaume,3,264,226,38,2,0,22,no,,0,0,0,,none,yes,1,yes,incomplete_placeholder,INCOMPLETE,MIGRABLE_AVEC_RESERVE,yes,a8092663d3038919
1119,publish,5-4-activites-test-de-dons-ministere-coaching,736,parcours-3-je-deviens-un-disciple-actif,1115,%f0%9f%9b%90-module-5-le-service-dans-le-royaume,4,388,337,51,4,0,30,no,,0,0,0,,none,no,0,no,complete,TEXT_VALID,MIGRABLE,no,3c043d9b058db079
1121,publish,6-1-la-mission-selon-le-coeur-de-dieu,736,parcours-3-je-deviens-un-disciple-actif,1120,%f0%9f%8c%8d-module-6-la-maturite-et-la-mission,1,241,203,32,2,0,32,no,,0,0,0,,none,yes,1,yes,incomplete_placeholder,INCOMPLETE,MIGRABLE_AVEC_RESERVE,yes,579db08ea64188af
1122,publish,6-2-la-maturite-spirituelle-fruits-sagesse-stabilite,736,parcours-3-je-deviens-un-disciple-actif,1120,%f0%9f%8c%8d-module-6-la-maturite-et-la-mission,2,424,354,58,2,0,54,no,,0,0,0,,none,yes,1,yes,incomplete_placeholder,INCOMPLETE,MIGRABLE_AVEC_RESERVE,yes,395dab68108cef73
1123,publish,6-3-vivre-lonction-et-la-consecration,736,parcours-3-je-deviens-un-disciple-actif,1120,%f0%9f%8c%8d-module-6-la-maturite-et-la-mission,3,244,206,31,2,0,49,no,,0,0,0,,none,yes,1,yes,incomplete_placeholder,INCOMPLETE,MIGRABLE_AVEC_RESERVE,yes,4a28299db9626476
1124,publish,6-4-activites-mentorat-mission-enseignement,736,parcours-3-je-deviens-un-disciple-actif,1120,%f0%9f%8c%8d-module-6-la-maturite-et-la-mission,4,409,358,54,4,0,30,no,,0,0,0,,none,no,0,no,complete,TEXT_VALID,MIGRABLE,no,a8d86c49c9d1965f
1125,publish,6-5-%f0%9f%8e%93-validation-finale-engagement-de-disciple-actif,736,parcours-3-je-deviens-un-disciple-actif,1120,%f0%9f%8c%8d-module-6-la-maturite-et-la-mission,5,711,582,103,3,2,50,no,,0,0,0,,none,no,0,no,complete,TEXT_VALID,MIGRABLE,no,893e61bc08194912
874,publish,le-saint-esprit-la-puissance-pour-marcher-droit,867,le-chemin-des-elus-7-etapes-pour-entrer-senraciner-et-regner,868,topic-1-foundations-of-sewing-and-tools-5,4,3122,1253,218,4,9,0,no,,0,0,0,,none,no,0,no,complete,TEXT_VALID,MIGRABLE,no,427ff719951c0768
